Rule	Tags	Level	Weight	Category	Subcategory	Originator	Notes
"Loudly declare ""flip a bitch"", take another turn, play continues in reverse"		1		Gameplay		Cole	
Choose two people in the room, they kiss.	kissing	1	2	Physical			
Ten seconds of makeouts with rooms choice. Room counts loudly.	kissing	2	2	Physical			
Kiss someone you haven't kissed before, if you've kissed everyone, kiss everyone	kissing	3	2	Physical			
Kiss all the long-haired people	kissing	3	2	Physical			
Kiss all the short-hair people	kissing	3	2	Physical			
Kiss your neighbors	kissing	2	2	Physical			
Kiss all the things with tongue	kissing	4	2	Physical			
Room chooses 2 other people, you attempt a 3-way kiss	kissing	4	2	Physical			
Werewolf point, kiss that person	kissing	2	2	Physical		Cole	
When was the last time you had sex?	nsfw	1	2	Truth			
Tell us a sex tip! 	nsfw	3	2	Truth			
What kind of porn do you usually watch? and why?	nsfw	3	2	Truth			
What kink are you most interested to try and why?	nsfw	1	2	Truth		Kaitlin	
What sex position did you always want to try but haven't gotten around to it?	nsfw	1	2	Truth		Kaitlin	
Nose goes, last person drinks		1	2	Drinking		Kaitlin	
Take a shot of your choice with someone of your choice		2	2	Drinking			
Everyone shares a tasty shot!		4	2	Drinking			
Drinking buddy! 		1	2	Gameplay	Drinking		
"Start with the prompt ""You must"", go around the circle, everyone saying one word to make up the rule"		1	2	Gameplay			
The person to your right chooses an action off the list and you do it		2	2	Gameplay			
Pick a random number and do that action		3	2	Gameplay			
Grope someone of group choice on body part of victim's choice		3	2	Physical			
Your neighbors both spank you		3	2	Physical			
Give someone a lap dance.		4	2	Physical			
Take a body shot off someone.		4	2	Physical	Drinking		
Werewolf point, make out with that person		3	2	Physical		Cole	
Person of your choice removes an article of clothing.		1	2	Strip			
Strip 1		2	2	Strip			
Remove an article of clothing (minor strip tease)		2	2	Strip	Physical		
Swap clothes with someone		2	2	Strip			
Swap clothes with someone of a different gender		2	2	Strip			
Pass your entire outfit (underwear excluded) to your left		3	2	Strip			
Who do you secretly have a crush on? (prefer parties present)		5	2	Truth			
Pick someone to take with you to the dark room (5 minutes)	darkroom	4	2	Physical			
Kiss all the things	kissing	3	2	Physical			
Tell us about a specific genre/type/keyword of porn that you'd recommend and why	nsfw	2	2	Truth			
Invent a new Jenga rule and insert it into the spreadsheet		1	2	Gameplay			
spin the bottle, the person it points to chooses an action and asks to perform it on you. You can counter-negotiate		5	3	Physical			
Werewolf point, that person removes an article of clothing		2	3	Strip		Cole	
You are signing up for a masterclass tomorrow. What is it?		2		Truth		Adventure Challenge	
Tell us an embarrassing story from your childhood.		5		Truth		Adventure Challenge	
If you got to pick my career, what would you choose and why?		4		Truth		Adventure Challenge	
Have you ever experienced something miraculous or unexplainable?		4		Truth		Adventure Challenge	
If you could revisit the first time we met, would you change anything? If so, what?		4		Truth		Adventure Challenge	
What is something you hope others remember about you and why?		4		Truth		Adventure Challenge	
What would you consider your greatest accomplishment in life so far?		4		Truth		Adventure Challenge	
What's one thing you would like to see happen in your life this year?		3		Truth		Adventure Challenge	
If you had to choose a TV or movie character who represents your overall vibe, who would you choose?		3		Truth		Adventure Challenge	
What are some of your favorite physical attributes of yourself? Why?		3		Truth		Adventure Challenge	
